

Generation 1º
Individual    Value      Choice Probability 
     11       20.123        4.784%
     12       20.068        4.771%
     13       19.932        4.738%
     14       19.874        4.725%
     15       19.563        4.651%
     16       19.535        4.644%
     17       19.414        4.615%
     18       19.084        4.537%
     19       18.732        4.453%
     20       18.732        4.453%
     21       18.338        4.360%
     22       18.288        4.348%
     23       18.059        4.293%
     24       18.059        4.293%
     25       17.174        4.083%
     26       17.141        4.075%
     27       17.035        4.050%
     28       17.034        4.050%
     29       16.482        3.918%
     30       16.143        3.838%
     31       15.717        3.736%
     32       15.372        3.654%
     33       14.828        3.525%
     34       14.804        3.519%
     35       14.453        3.436%
     36       13.533        3.217%
     37       13.183        3.134%
     38       12.693        3.017%
     39       12.002        2.853%
     40       11.638        2.767%
     41       11.096        2.638%
     42       10.498        2.496%
     43        9.319        2.215%
     44        9.139        2.172%
     45        8.634        2.052%
     46        8.415        2.001%
     47        6.205        1.475%
     48        4.877        1.159%
     49        3.002        0.714%

Generation 4º
Individual    Value      Choice Probability 
     0       27.263        6.481%
     1       26.470        6.293%
     2       26.470        6.293%
     3       26.402        6.276%
     4       26.170        6.221%
     5       25.845        6.144%
     6       25.604        6.087%
     7       25.597        6.085%
     8       25.506        6.063%
     9       25.506        6.063%
     10       25.506        6.063%
     11       25.121        5.972%
     12       23.765        5.650%
     13       23.417        5.567%
     14       23.258        5.529%
     15       23.143        5.502%
     16       23.060        5.482%
     17       23.035        5.476%
     18       22.718        5.401%
     19       22.653        5.385%
     20       22.451        5.337%
     21       22.416        5.329%
     22       20.505        4.875%
     23       20.244        4.813%
     24       20.218        4.806%
     25       20.206        4.803%
     26       20.193        4.800%
     27       20.175        4.796%
     28       20.166        4.794%
     29       20.123        4.784%
     30       20.094        4.777%
     31       20.085        4.775%
     32       20.085        4.775%
     33       20.077        4.773%
     34       20.071        4.771%
     35       20.031        4.762%
     36       20.017        4.759%
     37       19.987        4.751%
     38       19.888        4.728%
     39       19.874        4.725%
     40       19.730        4.690%
     41       19.685        4.680%
     42       19.535        4.644%
     43       19.298        4.588%
     44       19.047        4.528%
     45       18.915        4.497%
     46       18.801        4.469%
     47       18.775        4.463%
     48       18.737        4.454%
     49       17.784        4.228%

Generation 5º
Individual    Value      Choice Probability 
     0       29.164        6.933%
     1       29.119        6.922%
     2       27.625        6.567%
     3       27.625        6.567%
     4       27.263        6.481%
     5       27.263        6.481%
     6       27.263        6.481%
     7       27.263        6.481%
     8       26.642        6.334%
     9       26.470        6.293%
     10       26.470        6.293%
     11       26.470        6.293%
     12       26.470        6.293%
     13       26.470        6.293%
     14       26.402        6.276%
     15       26.402        6.276%
     16       26.402        6.276%
     17       26.402        6.276%
     18       26.170        6.221%
     19       26.170        6.221%
     20       26.170        6.221%
     21       26.164        6.220%
     22       26.058        6.195%
     23       25.845        6.144%
     24       25.795        6.132%
     25       25.795        6.132%
     26       25.776        6.128%
     27       25.683        6.105%
     28       25.603        6.087%
     29       25.506        6.063%
     30       25.506        6.063%
     31       25.506        6.063%
     32       25.506        6.063%
     33       25.361        6.029%
     34       25.121        5.972%
     35       25.121        5.972%
     36       23.997        5.705%
     37       23.457        5.576%
     38       23.369        5.556%
     39       23.143        5.502%
     40       23.143        5.502%
     41       23.143        5.502%
     42       23.143        5.502%
     43       23.143        5.502%
     44       23.129        5.498%
     45       22.653        5.385%
     46       22.497        5.348%
     47       22.435        5.333%
     48       20.246        4.813%
     49       18.758        4.459%

Generation 6º
Individual    Value      Choice Probability 
     0       33.089        7.866%
     1       32.557        7.740%
     2       29.652        7.049%
     3       29.605        7.038%
     4       29.164        6.933%
     5       29.164        6.933%
     6       29.119        6.922%
     7       27.625        6.567%
     8       27.625        6.567%
     9       27.625        6.567%
     10       27.625        6.567%
     11       27.263        6.481%
     12       27.263        6.481%
     13       27.263        6.481%
     14       27.263        6.481%
     15       27.263        6.481%
     16       27.263        6.481%
     17       27.263        6.481%
     18       27.263        6.481%
     19       27.263        6.481%
     20       27.263        6.481%
     21       27.263        6.481%
     22       27.263        6.481%
     23       27.263        6.481%
     24       27.263        6.481%
     25       27.263        6.481%
     26       27.263        6.481%
     27       27.263        6.481%
     28       27.057        6.432%
     29       26.642        6.334%
     30       26.642        6.334%
     31       26.642        6.334%
     32       26.642        6.334%
     33       26.470        6.293%
     34       26.470        6.293%
     35       26.470        6.293%
     36       26.470        6.293%
     37       26.470        6.293%
     38       26.470        6.293%
     39       26.470        6.293%
     40       26.470        6.293%
     41       26.402        6.276%
     42       26.402        6.276%
     43       26.402        6.276%
     44       26.402        6.276%
     45       26.402        6.276%
     46       26.402        6.276%
     47       25.683        6.105%
     48       23.143        5.502%
     49       23.143        5.502%

Generation 7º
Individual    Value      Choice Probability 
     0       33.089        7.866%
     1       33.089        7.866%
     2       33.089        7.866%
     3       32.557        7.740%
     4       32.557        7.740%
     5       32.557        7.740%
     6       32.557        7.740%
     7       30.559        7.265%
     8       30.038        7.141%
     9       30.038        7.141%
     10       29.830        7.091%
     11       29.830        7.091%
     12       29.652        7.049%
     13       29.605        7.038%
     14       29.364        6.981%
     15       29.164        6.933%
     16       29.164        6.933%
     17       29.119        6.922%
     18       27.710        6.587%
     19       27.625        6.567%
     20       27.625        6.567%
     21       27.625        6.567%
     22       27.625        6.567%
     23       27.625        6.567%
     24       27.625        6.567%
     25       27.625        6.567%
     26       27.625        6.567%
     27       27.625        6.567%
     28       27.625        6.567%
     29       27.625        6.567%
     30       27.625        6.567%
     31       27.625        6.567%
     32       27.625        6.567%
     33       27.625        6.567%
     34       27.401        6.514%
     35       27.348        6.501%
     36       27.263        6.481%
     37       27.263        6.481%
     38       27.263        6.481%
     39       27.263        6.481%
     40       27.263        6.481%
     41       27.263        6.481%
     42       27.263        6.481%
     43       27.107        6.444%
     44       27.107        6.444%
     45       27.057        6.432%
     46       27.057        6.432%
     47       27.003        6.419%
     48       23.466        5.579%
     49       23.143        5.502%

Generation 8º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.089        7.866%
     2       33.089        7.866%
     3       33.089        7.866%
     4       33.089        7.866%
     5       33.089        7.866%
     6       33.089        7.866%
     7       33.089        7.866%
     8       33.089        7.866%
     9       33.089        7.866%
     10       33.089        7.866%
     11       32.557        7.740%
     12       32.557        7.740%
     13       32.557        7.740%
     14       32.557        7.740%
     15       32.557        7.740%
     16       32.557        7.740%
     17       32.557        7.740%
     18       32.557        7.740%
     19       32.557        7.740%
     20       32.557        7.740%
     21       32.557        7.740%
     22       32.557        7.740%
     23       32.557        7.740%
     24       32.346        7.689%
     25       32.346        7.689%
     26       30.559        7.265%
     27       30.559        7.265%
     28       30.038        7.141%
     29       30.038        7.141%
     30       30.038        7.141%
     31       30.038        7.141%
     32       30.038        7.141%
     33       30.038        7.141%
     34       30.038        7.141%
     35       30.038        7.141%
     36       30.038        7.141%
     37       29.830        7.091%
     38       29.830        7.091%
     39       29.830        7.091%
     40       29.830        7.091%
     41       29.830        7.091%
     42       29.830        7.091%
     43       29.652        7.049%
     44       29.652        7.049%
     45       29.652        7.049%
     46       29.652        7.049%
     47       29.652        7.049%
     48       29.652        7.049%
     49       29.605        7.038%

Generation 9º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.089        7.866%
     6       33.089        7.866%
     7       33.089        7.866%
     8       33.089        7.866%
     9       33.089        7.866%
     10       33.089        7.866%
     11       33.089        7.866%
     12       33.089        7.866%
     13       33.089        7.866%
     14       33.089        7.866%
     15       33.089        7.866%
     16       33.089        7.866%
     17       33.089        7.866%
     18       33.089        7.866%
     19       33.089        7.866%
     20       33.089        7.866%
     21       33.089        7.866%
     22       33.089        7.866%
     23       33.089        7.866%
     24       33.089        7.866%
     25       33.089        7.866%
     26       33.089        7.866%
     27       33.089        7.866%
     28       33.089        7.866%
     29       33.089        7.866%
     30       33.089        7.866%
     31       33.089        7.866%
     32       33.089        7.866%
     33       33.089        7.866%
     34       33.089        7.866%
     35       33.089        7.866%
     36       33.089        7.866%
     37       33.089        7.866%
     38       33.089        7.866%
     39       32.557        7.740%
     40       32.557        7.740%
     41       32.557        7.740%
     42       32.557        7.740%
     43       32.557        7.740%
     44       32.557        7.740%
     45       32.557        7.740%
     46       32.346        7.689%
     47       32.346        7.689%
     48       32.346        7.689%
     49       32.346        7.689%

Generation 10º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.089        7.866%
     23       33.089        7.866%
     24       33.089        7.866%
     25       33.089        7.866%
     26       33.089        7.866%
     27       33.089        7.866%
     28       33.089        7.866%
     29       33.089        7.866%
     30       33.089        7.866%
     31       33.089        7.866%
     32       33.089        7.866%
     33       33.089        7.866%
     34       33.089        7.866%
     35       33.089        7.866%
     36       33.089        7.866%
     37       33.089        7.866%
     38       33.089        7.866%
     39       33.089        7.866%
     40       33.089        7.866%
     41       33.089        7.866%
     42       33.089        7.866%
     43       33.089        7.866%
     44       33.089        7.866%
     45       33.089        7.866%
     46       33.089        7.866%
     47       33.089        7.866%
     48       33.089        7.866%
     49       33.089        7.866%

Generation 11º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 12º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 13º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 14º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 15º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 16º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 17º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 18º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 19º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 20º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 21º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 22º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
     20       33.232        7.900%
     21       33.232        7.900%
     22       33.232        7.900%
     23       33.232        7.900%
     24       33.232        7.900%
     25       33.232        7.900%
     26       33.232        7.900%
     27       33.232        7.900%
     28       33.232        7.900%
     29       33.232        7.900%
     30       33.232        7.900%
     31       33.232        7.900%
     32       33.232        7.900%
     33       33.232        7.900%
     34       33.232        7.900%
     35       33.232        7.900%
     36       33.232        7.900%
     37       33.232        7.900%
     38       33.232        7.900%
     39       33.232        7.900%
     40       33.232        7.900%
     41       33.232        7.900%
     42       33.232        7.900%
     43       33.232        7.900%
     44       33.232        7.900%
     45       33.232        7.900%
     46       33.232        7.900%
     47       33.232        7.900%
     48       33.232        7.900%
     49       33.232        7.900%

Generation 23º
Individual    Value      Choice Probability 
     0       33.232        7.900%
     1       33.232        7.900%
     2       33.232        7.900%
     3       33.232        7.900%
     4       33.232        7.900%
     5       33.232        7.900%
     6       33.232        7.900%
     7       33.232        7.900%
     8       33.232        7.900%
     9       33.232        7.900%
     10       33.232        7.900%
     11       33.232        7.900%
     12       33.232        7.900%
     13       33.232        7.900%
     14       33.232        7.900%
     15       33.232        7.900%
     16       33.232        7.900%
     17       33.232        7.900%
     18       33.232        7.900%
     19       33.232        7.900%
