

Generation 1º
Individual    Value      Choice Probability 
     3       35.219        8.276%
     4       35.219        8.276%
     5       35.219        8.276%
     6       35.219        8.276%
     7       35.219        8.276%
     8       35.219        8.276%
     9       35.219        8.276%
     10       35.219        8.276%
     11       35.196        8.270%
     12       35.196        8.270%
     13       35.196        8.270%
     14       35.196        8.270%
     15       35.196        8.270%
     16       35.196        8.270%
     17       35.196        8.270%
     18       35.196        8.270%
     19       35.196        8.270%
     20       35.184        8.268%
     21       35.113        8.251%
     22       35.113        8.251%
     23       34.432        8.091%
     24       34.010        7.992%
     25       34.010        7.992%
     26       33.956        7.979%
     27       33.827        7.949%
     28       33.827        7.949%
     29       33.827        7.949%
     30       33.827        7.949%
     31       33.827        7.949%
     32       33.827        7.949%
     33       32.504        7.638%
     34       32.504        7.638%
     35       26.024        6.115%
     36       20.074        4.717%
     37       19.987        4.696%
     38       19.959        4.690%
     39       19.454        4.571%
     40       19.383        4.555%
     41       17.228        4.048%
     42       15.609        3.668%
     43       15.210        3.574%
     44       12.981        3.050%
     45       11.920        2.801%
     46       11.920        2.801%
     47        8.597        2.020%
     48        7.347        1.726%
     49        3.957        0.930%

Generation 4º
Individual    Value      Choice Probability 
     0       36.002        8.460%
     1       35.621        8.370%
     2       35.607        8.367%
     3       35.607        8.367%
     4       35.607        8.367%
     5       35.373        8.312%
     6       35.350        8.307%
     7       35.350        8.307%
     8       35.219        8.276%
     9       35.219        8.276%
     10       35.219        8.276%
     11       35.219        8.276%
     12       35.219        8.276%
     13       35.219        8.276%
     14       35.219        8.276%
     15       35.219        8.276%
     16       35.219        8.276%
     17       35.219        8.276%
     18       35.219        8.276%
     19       35.219        8.276%
     20       35.219        8.276%
     21       35.219        8.276%
     22       35.219        8.276%
     23       35.219        8.276%
     24       35.219        8.276%
     25       35.219        8.276%
     26       35.219        8.276%
     27       35.219        8.276%
     28       35.219        8.276%
     29       35.219        8.276%
     30       35.219        8.276%
     31       35.219        8.276%
     32       35.219        8.276%
     33       35.219        8.276%
     34       35.219        8.276%
     35       35.219        8.276%
     36       35.219        8.276%
     37       35.219        8.276%
     38       35.219        8.276%
     39       35.219        8.276%
     40       35.219        8.276%
     41       35.219        8.276%
     42       35.219        8.276%
     43       35.219        8.276%
     44       35.219        8.276%
     45       35.196        8.270%
     46       35.196        8.270%
     47       35.196        8.270%
     48       35.154        8.260%
     49       34.251        8.048%

Generation 5º
Individual    Value      Choice Probability 
     0       36.040        8.469%
     1       36.026        8.465%
     2       36.002        8.460%
     3       36.002        8.460%
     4       36.002        8.460%
     5       36.002        8.460%
     6       35.670        8.382%
     7       35.621        8.370%
     8       35.621        8.370%
     9       35.621        8.370%
     10       35.621        8.370%
     11       35.621        8.370%
     12       35.621        8.370%
     13       35.607        8.367%
     14       35.607        8.367%
     15       35.607        8.367%
     16       35.607        8.367%
     17       35.607        8.367%
     18       35.607        8.367%
     19       35.607        8.367%
     20       35.607        8.367%
     21       35.607        8.367%
     22       35.607        8.367%
     23       35.607        8.367%
     24       35.521        8.347%
     25       35.521        8.347%
     26       35.463        8.333%
     27       35.373        8.312%
     28       35.373        8.312%
     29       35.373        8.312%
     30       35.373        8.312%
     31       35.350        8.307%
     32       35.350        8.307%
     33       35.350        8.307%
     34       35.350        8.307%
     35       35.350        8.307%
     36       35.350        8.307%
     37       35.350        8.307%
     38       35.267        8.287%
     39       35.219        8.276%
     40       35.219        8.276%
     41       35.219        8.276%
     42       35.219        8.276%
     43       35.219        8.276%
     44       35.219        8.276%
     45       35.219        8.276%
     46       35.219        8.276%
     47       35.196        8.270%
     48       35.184        8.268%
     49       35.154        8.260%

Generation 6º
Individual    Value      Choice Probability 
     0       36.057        8.473%
     1       36.040        8.469%
     2       36.040        8.469%
     3       36.040        8.469%
     4       36.040        8.469%
     5       36.026        8.465%
     6       36.026        8.465%
     7       36.026        8.465%
     8       36.026        8.465%
     9       36.026        8.465%
     10       36.002        8.460%
     11       36.002        8.460%
     12       36.002        8.460%
     13       36.002        8.460%
     14       36.002        8.460%
     15       36.002        8.460%
     16       36.002        8.460%
     17       36.002        8.460%
     18       36.002        8.460%
     19       36.002        8.460%
     20       36.002        8.460%
     21       36.002        8.460%
     22       36.002        8.460%
     23       36.002        8.460%
     24       36.002        8.460%
     25       36.002        8.460%
     26       36.002        8.460%
     27       35.621        8.370%
     28       35.621        8.370%
     29       35.621        8.370%
     30       35.621        8.370%
     31       35.621        8.370%
     32       35.621        8.370%
     33       35.621        8.370%
     34       35.621        8.370%
     35       35.621        8.370%
     36       35.621        8.370%
     37       35.621        8.370%
     38       35.621        8.370%
     39       35.621        8.370%
     40       35.621        8.370%
     41       35.621        8.370%
     42       35.621        8.370%
     43       35.621        8.370%
     44       35.621        8.370%
     45       35.621        8.370%
     46       35.621        8.370%
     47       35.621        8.370%
     48       35.621        8.370%
     49       35.529        8.349%

Generation 7º
Individual    Value      Choice Probability 
     0       36.057        8.473%
     1       36.057        8.473%
     2       36.057        8.473%
     3       36.057        8.473%
     4       36.057        8.473%
     5       36.057        8.473%
     6       36.057        8.473%
     7       36.057        8.473%
     8       36.057        8.473%
     9       36.040        8.469%
     10       36.040        8.469%
     11       36.040        8.469%
     12       36.040        8.469%
     13       36.040        8.469%
     14       36.040        8.469%
     15       36.040        8.469%
     16       36.040        8.469%
     17       36.040        8.469%
     18       36.040        8.469%
     19       36.040        8.469%
     20       36.040        8.469%
     21       36.040        8.469%
     22       36.040        8.469%
     23       36.040        8.469%
     24       36.040        8.469%
     25       36.026        8.465%
     26       36.026        8.465%
     27       36.026        8.465%
     28       36.026        8.465%
     29       36.026        8.465%
     30       36.026        8.465%
     31       36.026        8.465%
     32       36.026        8.465%
     33       36.026        8.465%
     34       36.026        8.465%
     35       36.026        8.465%
     36       36.026        8.465%
     37       36.026        8.465%
     38       36.026        8.465%
     39       36.026        8.465%
     40       36.026        8.465%
     41       36.026        8.465%
     42       36.026        8.465%
     43       36.026        8.465%
     44       36.026        8.465%
     45       36.002        8.460%
     46       36.002        8.460%
     47       36.002        8.460%
     48       36.002        8.460%
     49       36.002        8.460%

Generation 8º
Individual    Value      Choice Probability 
     0       36.057        8.473%
     1       36.057        8.473%
     2       36.057        8.473%
     3       36.057        8.473%
     4       36.057        8.473%
     5       36.057        8.473%
     6       36.057        8.473%
     7       36.057        8.473%
     8       36.057        8.473%
     9       36.057        8.473%
     10       36.057        8.473%
     11       36.057        8.473%
     12       36.057        8.473%
     13       36.057        8.473%
     14       36.057        8.473%
     15       36.057        8.473%
     16       36.057        8.473%
     17       36.057        8.473%
     18       36.057        8.473%
     19       36.057        8.473%
     20       36.057        8.473%
     21       36.057        8.473%
     22       36.057        8.473%
     23       36.057        8.473%
     24       36.057        8.473%
     25       36.057        8.473%
     26       36.057        8.473%
     27       36.057        8.473%
     28       36.057        8.473%
     29       36.057        8.473%
     30       36.057        8.473%
     31       36.057        8.473%
     32       36.057        8.473%
     33       36.057        8.473%
     34       36.057        8.473%
     35       36.057        8.473%
     36       36.057        8.473%
     37       36.057        8.473%
     38       36.057        8.473%
     39       36.040        8.469%
     40       36.040        8.469%
     41       36.040        8.469%
     42       36.040        8.469%
     43       36.040        8.469%
     44       36.040        8.469%
     45       36.040        8.469%
     46       36.040        8.469%
     47       36.040        8.469%
     48       36.040        8.469%
     49       36.040        8.469%

Generation 9º
Individual    Value      Choice Probability 
     0       36.057        8.473%
     1       36.057        8.473%
     2       36.057        8.473%
     3       36.057        8.473%
     4       36.057        8.473%
     5       36.057        8.473%
     6       36.057        8.473%
     7       36.057        8.473%
     8       36.057        8.473%
     9       36.057        8.473%
     10       36.057        8.473%
     11       36.057        8.473%
     12       36.057        8.473%
     13       36.057        8.473%
     14       36.057        8.473%
     15       36.057        8.473%
     16       36.057        8.473%
     17       36.057        8.473%
     18       36.057        8.473%
     19       36.057        8.473%
     20       36.057        8.473%
     21       36.057        8.473%
     22       36.057        8.473%
     23       36.057        8.473%
     24       36.057        8.473%
     25       36.057        8.473%
     26       36.057        8.473%
     27       36.057        8.473%
     28       36.057        8.473%
     29       36.057        8.473%
     30       36.057        8.473%
     31       36.057        8.473%
     32       36.057        8.473%
     33       36.057        8.473%
     34       36.057        8.473%
     35       36.057        8.473%
     36       36.057        8.473%
     37       36.057        8.473%
     38       36.057        8.473%
     39       36.057        8.473%
     40       36.057        8.473%
     41       36.057        8.473%
     42       36.057        8.473%
     43       36.057        8.473%
     44       36.057        8.473%
     45       36.057        8.473%
     46       36.057        8.473%
     47       36.057        8.473%
     48       36.057        8.473%
     49       36.057        8.473%

Generation 10º
Individual    Value      Choice Probability 
     0       36.057        8.473%
     1       36.057        8.473%
     2       36.057        8.473%
     3       36.057        8.473%
     4       36.057        8.473%
     5       36.057        8.473%
     6       36.057        8.473%
     7       36.057        8.473%
     8       36.057        8.473%
     9       36.057        8.473%
     10       36.057        8.473%
     11       36.057        8.473%
     12       36.057        8.473%
     13       36.057        8.473%
     14       36.057        8.473%
     15       36.057        8.473%
     16       36.057        8.473%
     17       36.057        8.473%
     18       36.057        8.473%
     19       36.057        8.473%
     20       36.057        8.473%
     21       36.057        8.473%
     22       36.057        8.473%
     23       36.057        8.473%
     24       36.057        8.473%
     25       36.057        8.473%
     26       36.057        8.473%
     27       36.057        8.473%
     28       36.057        8.473%
     29       36.057        8.473%
     30       36.057        8.473%
     31       36.057        8.473%
     32       36.057        8.473%
     33       36.057        8.473%
     34       36.057        8.473%
     35       36.057        8.473%
     36       36.057        8.473%
     37       36.057        8.473%
     38       36.057        8.473%
     39       36.057        8.473%
     40       36.057        8.473%
     41       36.057        8.473%
     42       36.057        8.473%
     43       36.057        8.473%
     44       36.057        8.473%
     45       36.057        8.473%
     46       36.057        8.473%
     47       36.057        8.473%
     48       36.057        8.473%
     49       36.057        8.473%

Generation 11º
Individual    Value      Choice Probability 
     0       36.057        8.473%
     1       36.057        8.473%
     2       36.057        8.473%
     3       36.057        8.473%
     4       36.057        8.473%
     5       36.057        8.473%
     6       36.057        8.473%
     7       36.057        8.473%
     8       36.057        8.473%
     9       36.057        8.473%
     10       36.057        8.473%
     11       36.057        8.473%
     12       36.057        8.473%
     13       36.057        8.473%
     14       36.057        8.473%
     15       36.057        8.473%
     16       36.057        8.473%
     17       36.057        8.473%
     18       36.057        8.473%
     19       36.057        8.473%
     20       36.057        8.473%
     21       36.057        8.473%
     22       36.057        8.473%
     23       36.057        8.473%
     24       36.057        8.473%
     25       36.057        8.473%
     26       36.057        8.473%
     27       36.057        8.473%
     28       36.057        8.473%
     29       36.057        8.473%
     30       36.057        8.473%
     31       36.057        8.473%
     32       36.057        8.473%
     33       36.057        8.473%
     34       36.057        8.473%
     35       36.057        8.473%
     36       36.057        8.473%
     37       36.057        8.473%
     38       36.057        8.473%
     39       36.057        8.473%
     40       36.057        8.473%
     41       36.057        8.473%
     42       36.057        8.473%
     43       36.057        8.473%
     44       36.057        8.473%
     45       36.057        8.473%
     46       36.057        8.473%
     47       36.057        8.473%
     48       36.057        8.473%
     49       36.057        8.473%

Generation 12º
Individual    Value      Choice Probability 
     0       36.057        8.473%
     1       36.057        8.473%
     2       36.057        8.473%
     3       36.057        8.473%
     4       36.057        8.473%
     5       36.057        8.473%
     6       36.057        8.473%
     7       36.057        8.473%
     8       36.057        8.473%
     9       36.057        8.473%
     10       36.057        8.473%
     11       36.057        8.473%
     12       36.057        8.473%
     13       36.057        8.473%
     14       36.057        8.473%
     15       36.057        8.473%
     16       36.057        8.473%
     17       36.057        8.473%
     18       36.057        8.473%
     19       36.057        8.473%
     20       36.057        8.473%
     21       36.057        8.473%
     22       36.057        8.473%
     23       36.057        8.473%
     24       36.057        8.473%
     25       36.057        8.473%
     26       36.057        8.473%
     27       36.057        8.473%
     28       36.057        8.473%
     29       36.057        8.473%
     30       36.057        8.473%
     31       36.057        8.473%
     32       36.057        8.473%
     33       36.057        8.473%
     34       36.057        8.473%
     35       36.057        8.473%
     36       36.057        8.473%
     37       36.057        8.473%
     38       36.057        8.473%
     39       36.057        8.473%
     40       36.057        8.473%
     41       36.057        8.473%
     42       36.057        8.473%
     43       36.057        8.473%
     44       36.057        8.473%
     45       36.057        8.473%
     46       36.057        8.473%
     47       36.057        8.473%
     48       36.057        8.473%
     49       36.057        8.473%

Generation 13º
Individual    Value      Choice Probability 
     0       36.057        8.473%
     1       36.057        8.473%
     2       36.057        8.473%
     3       36.057        8.473%
     4       36.057        8.473%
     5       36.057        8.473%
     6       36.057        8.473%
     7       36.057        8.473%
     8       36.057        8.473%
     9       36.057        8.473%
     10       36.057        8.473%
     11       36.057        8.473%
     12       36.057        8.473%
     13       36.057        8.473%
     14       36.057        8.473%
     15       36.057        8.473%
     16       36.057        8.473%
     17       36.057        8.473%
     18       36.057        8.473%
     19       36.057        8.473%
     20       36.057        8.473%
     21       36.057        8.473%
     22       36.057        8.473%
     23       36.057        8.473%
     24       36.057        8.473%
     25       36.057        8.473%
     26       36.057        8.473%
     27       36.057        8.473%
     28       36.057        8.473%
     29       36.057        8.473%
     30       36.057        8.473%
     31       36.057        8.473%
     32       36.057        8.473%
     33       36.057        8.473%
     34       36.057        8.473%
     35       36.057        8.473%
     36       36.057        8.473%
     37       36.057        8.473%
     38       36.057        8.473%
     39       36.057        8.473%
     40       36.057        8.473%
     41       36.057        8.473%
     42       36.057        8.473%
     43       36.057        8.473%
     44       36.057        8.473%
     45       36.057        8.473%
     46       36.057        8.473%
     47       36.057        8.473%
     48       36.057        8.473%
     49       36.057        8.473%

Generation 14º
Individual    Value      Choice Probability 
     0       36.057        8.473%
     1       36.057        8.473%
     2       36.057        8.473%
     3       36.057        8.473%
     4       36.057        8.473%
     5       36.057        8.473%
     6       36.057        8.473%
     7       36.057        8.473%
     8       36.057        8.473%
     9       36.057        8.473%
     10       36.057        8.473%
     11       36.057        8.473%
     12       36.057        8.473%
     13       36.057        8.473%
     14       36.057        8.473%
     15       36.057        8.473%
     16       36.057        8.473%
     17       36.057        8.473%
     18       36.057        8.473%
     19       36.057        8.473%
     20       36.057        8.473%
     21       36.057        8.473%
     22       36.057        8.473%
     23       36.057        8.473%
     24       36.057        8.473%
     25       36.057        8.473%
     26       36.057        8.473%
     27       36.057        8.473%
     28       36.057        8.473%
     29       36.057        8.473%
     30       36.057        8.473%
     31       36.057        8.473%
     32       36.057        8.473%
     33       36.057        8.473%
     34       36.057        8.473%
     35       36.057        8.473%
     36       36.057        8.473%
     37       36.057        8.473%
     38       36.057        8.473%
     39       36.057        8.473%
     40       36.057        8.473%
     41       36.057        8.473%
     42       36.057        8.473%
     43       36.057        8.473%
     44       36.057        8.473%
     45       36.057        8.473%
     46       36.057        8.473%
     47       36.057        8.473%
     48       36.057        8.473%
     49       36.057        8.473%

Generation 15º
Individual    Value      Choice Probability 
     0       36.057        8.473%
     1       36.057        8.473%
     2       36.057        8.473%
     3       36.057        8.473%
     4       36.057        8.473%
     5       36.057        8.473%
     6       36.057        8.473%
     7       36.057        8.473%
     8       36.057        8.473%
     9       36.057        8.473%
     10       36.057        8.473%
     11       36.057        8.473%
     12       36.057        8.473%
     13       36.057        8.473%
     14       36.057        8.473%
     15       36.057        8.473%
     16       36.057        8.473%
     17       36.057        8.473%
     18       36.057        8.473%
     19       36.057        8.473%
     20       36.057        8.473%
     21       36.057        8.473%
     22       36.057        8.473%
     23       36.057        8.473%
     24       36.057        8.473%
     25       36.057        8.473%
     26       36.057        8.473%
     27       36.057        8.473%
     28       36.057        8.473%
     29       36.057        8.473%
     30       36.057        8.473%
     31       36.057        8.473%
     32       36.057        8.473%
     33       36.057        8.473%
     34       36.057        8.473%
     35       36.057        8.473%
     36       36.057        8.473%
     37       36.057        8.473%
     38       36.057        8.473%
     39       36.057        8.473%
     40       36.057        8.473%
     41       36.057        8.473%
     42       36.057        8.473%
     43       36.057        8.473%
     44       36.057        8.473%
     45       36.057        8.473%
     46       36.057        8.473%
     47       36.057        8.473%
     48       36.057        8.473%
     49       36.057        8.473%

Generation 16º
Individual    Value      Choice Probability 
     0       36.057        8.473%
     1       36.057        8.473%
     2       36.057        8.473%
     3       36.057        8.473%
     4       36.057        8.473%
     5       36.057        8.473%
     6       36.057        8.473%
     7       36.057        8.473%
     8       36.057        8.473%
     9       36.057        8.473%
     10       36.057        8.473%
     11       36.057        8.473%
     12       36.057        8.473%
     13       36.057        8.473%
     14       36.057        8.473%
     15       36.057        8.473%
     16       36.057        8.473%
     17       36.057        8.473%
     18       36.057        8.473%
     19       36.057        8.473%
     20       36.057        8.473%
     21       36.057        8.473%
     22       36.057        8.473%
     23       36.057        8.473%
     24       36.057        8.473%
     25       36.057        8.473%
     26       36.057        8.473%
     27       36.057        8.473%
     28       36.057        8.473%
     29       36.057        8.473%
     30       36.057        8.473%
     31       36.057        8.473%
     32       36.057        8.473%
     33       36.057        8.473%
     34       36.057        8.473%
     35       36.057        8.473%
     36       36.057        8.473%
     37       36.057        8.473%
     38       36.057        8.473%
     39       36.057        8.473%
     40       36.057        8.473%
     41       36.057        8.473%
     42       36.057        8.473%
     43       36.057        8.473%
     44       36.057        8.473%
     45       36.057        8.473%
     46       36.057        8.473%
     47       36.057        8.473%
     48       36.057        8.473%
     49       36.057        8.473%

Generation 17º
Individual    Value      Choice Probability 
     0       36.057        8.473%
     1       36.057        8.473%
     2       36.057        8.473%
     3       36.057        8.473%
     4       36.057        8.473%
     5       36.057        8.473%
     6       36.057        8.473%
     7       36.057        8.473%
     8       36.057        8.473%
     9       36.057        8.473%
     10       36.057        8.473%
     11       36.057        8.473%
     12       36.057        8.473%
     13       36.057        8.473%
     14       36.057        8.473%
     15       36.057        8.473%
     16       36.057        8.473%
     17       36.057        8.473%
     18       36.057        8.473%
     19       36.057        8.473%
     20       36.057        8.473%
     21       36.057        8.473%
     22       36.057        8.473%
     23       36.057        8.473%
     24       36.057        8.473%
     25       36.057        8.473%
     26       36.057        8.473%
     27       36.057        8.473%
     28       36.057        8.473%
     29       36.057        8.473%
     30       36.057        8.473%
     31       36.057        8.473%
     32       36.057        8.473%
     33       36.057        8.473%
     34       36.057        8.473%
     35       36.057        8.473%
     36       36.057        8.473%
     37       36.057        8.473%
     38       36.057        8.473%
     39       36.057        8.473%
     40       36.057        8.473%
     41       36.057        8.473%
     42       36.057        8.473%
     43       36.057        8.473%
     44       36.057        8.473%
     45       36.057        8.473%
     46       36.057        8.473%
     47       36.057        8.473%
     48       36.057        8.473%
     49       36.057        8.473%

Generation 18º
Individual    Value      Choice Probability 
     0       36.057        8.473%
     1       36.057        8.473%
     2       36.057        8.473%
     3       36.057        8.473%
     4       36.057        8.473%
     5       36.057        8.473%
     6       36.057        8.473%
     7       36.057        8.473%
     8       36.057        8.473%
     9       36.057        8.473%
     10       36.057        8.473%
     11       36.057        8.473%
     12       36.057        8.473%
     13       36.057        8.473%
     14       36.057        8.473%
     15       36.057        8.473%
     16       36.057        8.473%
     17       36.057        8.473%
     18       36.057        8.473%
     19       36.057        8.473%
     20       36.057        8.473%
     21       36.057        8.473%
     22       36.057        8.473%
     23       36.057        8.473%
     24       36.057        8.473%
     25       36.057        8.473%
     26       36.057        8.473%
     27       36.057        8.473%
     28       36.057        8.473%
     29       36.057        8.473%
     30       36.057        8.473%
     31       36.057        8.473%
     32       36.057        8.473%
     33       36.057        8.473%
     34       36.057        8.473%
     35       36.057        8.473%
     36       36.057        8.473%
     37       36.057        8.473%
     38       36.057        8.473%
     39       36.057        8.473%
     40       36.057        8.473%
     41       36.057        8.473%
     42       36.057        8.473%
     43       36.057        8.473%
     44       36.057        8.473%
     45       36.057        8.473%
     46       36.057        8.473%
     47       36.057        8.473%
     48       36.057        8.473%
     49       36.057        8.473%

Generation 19º
Individual    Value      Choice Probability 
     0       36.057        8.473%
     1       36.057        8.473%
     2       36.057        8.473%
     3       36.057        8.473%
     4       36.057        8.473%
     5       36.057        8.473%
     6       36.057        8.473%
     7       36.057        8.473%
     8       36.057        8.473%
     9       36.057        8.473%
     10       36.057        8.473%
     11       36.057        8.473%
     12       36.057        8.473%
     13       36.057        8.473%
     14       36.057        8.473%
     15       36.057        8.473%
     16       36.057        8.473%
     17       36.057        8.473%
     18       36.057        8.473%
     19       36.057        8.473%
     20       36.057        8.473%
     21       36.057        8.473%
     22       36.057        8.473%
     23       36.057        8.473%
     24       36.057        8.473%
     25       36.057        8.473%
     26       36.057        8.473%
     27       36.057        8.473%
     28       36.057        8.473%
     29       36.057        8.473%
     30       36.057        8.473%
     31       36.057        8.473%
     32       36.057        8.473%
     33       36.057        8.473%
     34       36.057        8.473%
     35       36.057        8.473%
     36       36.057        8.473%
     37       36.057        8.473%
     38       36.057        8.473%
     39       36.057        8.473%
     40       36.057        8.473%
     41       36.057        8.473%
     42       36.057        8.473%
     43       36.057        8.473%
     44       36.057        8.473%
     45       36.057        8.473%
     46       36.057        8.473%
     47       36.057        8.473%
     48       36.057        8.473%
     49       36.057        8.473%

Generation 20º
Individual    Value      Choice Probability 
     0       36.057        8.473%
     1       36.057        8.473%
     2       36.057        8.473%
     3       36.057        8.473%
     4       36.057        8.473%
     5       36.057        8.473%
     6       36.057        8.473%
     7       36.057        8.473%
     8       36.057        8.473%
     9       36.057        8.473%
     10       36.057        8.473%
     11       36.057        8.473%
     12       36.057        8.473%
     13       36.057        8.473%
     14       36.057        8.473%
     15       36.057        8.473%
     16       36.057        8.473%
     17       36.057        8.473%
     18       36.057        8.473%
     19       36.057        8.473%
     20       36.057        8.473%
     21       36.057        8.473%
     22       36.057        8.473%
     23       36.057        8.473%
     24       36.057        8.473%
     25       36.057        8.473%
     26       36.057        8.473%
     27       36.057        8.473%
     28       36.057        8.473%
     29       36.057        8.473%
     30       36.057        8.473%
     31       36.057        8.473%
     32       36.057        8.473%
     33       36.057        8.473%
     34       36.057        8.473%
     35       36.057        8.473%
     36       36.057        8.473%
     37       36.057        8.473%
     38       36.057        8.473%
     39       36.057        8.473%
     40       36.057        8.473%
     41       36.057        8.473%
     42       36.057        8.473%
     43       36.057        8.473%
     44       36.057        8.473%
     45       36.057        8.473%
     46       36.057        8.473%
     47       36.057        8.473%
     48       36.057        8.473%
     49       36.057        8.473%
